Date,Account Number,Symbol,Asset Type,Currency,Qty,Price Per Share,Commission,MER Fees,Action
2021-02-07,13356886,GOOGL,Stock,USD,10,95.83,5.98,0,Buy
2021-02-24,13356886,GOOGL,Stock,USD,10,107.2,2.39,0,Buy
2021-04-07,13356886,GOOGL,Stock,USD,15,109.15,8.15,0,Buy
2021-04-30,46913810,VCN.TO,ETF,CAD,15,59.55,1.28,0,Buy
2021-05-05,46913810,VCN.TO,ETF,CAD,20,55.78,4.23,0,Buy
2021-05-08,13356886,GOOGL,Stock,USD,-26,108.59,9.94,0,Sell
2021-05-26,46913810,VCN.TO,ETF,CAD,35,0.35,0.0,0,Dividend
2021-06-11,13356886,GOOGL,Stock,USD,20,111.29,5.53,0,Buy
2021-06-16,13356886,GOOGL,Stock,USD,25,114.95,0.59,0,Buy
2021-06-23,13356886,GOOGL,Stock,USD,1,113.5,5.14,0,Buy
2021-06-27,46913810,VCN.TO,ETF,CAD,5,60.2,7.23,0,Buy
2021-07-12,13356886,GOOGL,Stock,USD,-27,109.72,1.9,0,Sell
2021-07-14,46913810,VCN.TO,ETF,CAD,15,56.88,4.67,0,Buy
2021-08-06,13356886,GOOGL,Stock,USD,25,113.41,3.39,0,Buy
2021-08-09,46913810,META,Stock,USD,15,319.83,1.9,0,Buy
2021-08-18,13356886,GOOGL,Stock,USD,15,109.55,2.5,0,Buy
2021-08-26,13356886,JPM,Stock,USD,50,186.03,0.98,0,Buy
2021-08-29,46913810,META,Stock,USD,5,324.87,1.66,0,Buy
2021-09-06,13356886,GOOGL,Stock,USD,1,109.99,1.64,0,Buy
2021-09-13,13356886,JPM,Stock,USD,50,197.77,7.84,0,Buy
2021-09-17,13356886,JPM,Stock,USD,10,196.48,2.17,0,Buy
2021-09-23,46913810,META,Stock,USD,-2,311.46,0.5,0,Sell
2021-10-14,13356886,GOOGL,Stock,USD,20,112.36,0.8,0,Buy
2021-11-11,46913810,META,Stock,USD,-8,272.62,4.03,0,Sell
2021-11-13,46913810,DIS,Stock,USD,15,77.74,5.78,0,Buy
2021-11-20,46913810,META,Stock,USD,20,266.66,5.65,0,Buy
2021-12-11,13356886,GOOGL,Stock,USD,25,126.49,3.14,0,Buy
2021-12-11,46913810,DIS,Stock,USD,-5,77.44,4.57,0,Sell
2021-12-16,13356886,BA,Stock,USD,10,224.63,4.58,0,Buy
2021-12-21,46913810,JNJ,Stock,USD,10,150.24,5.37,0,Buy
2021-12-25,46913810,JNJ,Stock,USD,10,1.08,0.0,0,Dividend
2021-12-28,13356886,CNR.TO,Stock,CAD,20,141.78,2.85,0,Buy
2021-12-31,46913810,DIS,Stock,USD,-9,78.72,0.08,0,Sell
2022-01-01,13356886,MSFT,Stock,USD,100,430.8,1.03,0,Buy
2022-01-17,46913810,AAPL,Stock,USD,10,211.77,8.89,0,Buy
2022-02-01,13356886,TSLA,Stock,USD,20,136.4,2.81,0,Buy
2022-03-01,46913810,DIS,Stock,USD,25,90.71,8.52,0,Buy
2022-03-15,13356886,CNR.TO,Stock,CAD,20,0.65,0.0,0,Dividend
2022-04-06,46913810,JNJ,Stock,USD,-5,158.74,0.44,0,Sell
2022-04-09,13356886,TSLA,Stock,USD,-9,128.95,1.61,0,Sell
2022-04-12,13356886,MSFT,Stock,USD,-8,418.97,0.75,0,Sell
2022-04-17,13356886,TSLA,Stock,USD,50,132.46,3.69,0,Buy
2022-04-26,13356886,MSFT,Stock,USD,10,384.27,3.64,0,Buy
2022-04-26,13356886,BA,Stock,USD,5,239.55,6.81,0,Buy
2022-05-13,46913810,DIS,Stock,USD,-14,82.39,9.73,0,Sell
2022-05-16,46913810,META,Stock,USD,5,176.03,8.81,0,Buy
2022-05-23,46913810,DIS,Stock,USD,-7,80.84,8.01,0,Sell
2022-06-17,46913810,META,Stock,USD,50,194.18,7.01,0,Buy
2022-06-21,13356886,BA,Stock,USD,5,233.68,1.99,0,Buy
2022-06-30,46913810,DIS,Stock,USD,50,81.01,8.7,0,Buy
2022-07-24,13356886,JPM,Stock,USD,10,164.2,2.78,0,Buy
2022-07-25,13356886,CNR.TO,Stock,CAD,20,164.5,3.99,0,Buy
2022-07-27,13356886,GOOGL,Stock,USD,1,138.33,1.15,0,Buy
2022-07-28,13356886,TSLA,Stock,USD,-17,129.78,0.38,0,Sell
2022-08-01,46913810,DIS,Stock,USD,-21,87.7,4.36,0,Sell
2022-08-01,46913810,JNJ,Stock,USD,20,176.76,1.9,0,Buy
2022-08-03,13356886,MSFT,Stock,USD,50,345.81,5.38,0,Buy
2022-08-07,13356886,JPM,Stock,USD,15,172.86,0.7,0,Buy
2022-08-24,46913810,DIS,Stock,USD,-8,87.12,7.19,0,Sell
2022-08-24,13356886,CNR.TO,Stock,CAD,-21,172.42,4.02,0,Sell
2022-09-16,13356886,TSLA,Stock,USD,25,108.36,9.39,0,Buy
2022-09-24,13356886,TSLA,Stock,USD,-20,113.08,4.06,0,Sell
2022-09-25,13356886,CNR.TO,Stock,CAD,15,162.57,7.85,0,Buy
2022-10-05,46913810,DIS,Stock,USD,15,83.04,6.75,0,Buy
2022-11-07,13356886,TSLA,Stock,USD,-19,104.23,5.15,0,Sell
2022-11-09,46913810,DIS,Stock,USD,50,74.87,2.35,0,Buy
2022-11-27,46913810,META,Stock,USD,1,250.99,2.45,0,Buy
2022-12-22,46913810,JNJ,Stock,USD,25,187.64,5.75,0,Buy
2022-12-29,13356886,MSFT,Stock,USD,5,493.84,1.47,0,Buy
2022-12-29,46913810,JNJ,Stock,USD,-15,188.61,1.76,0,Sell
2023-01-06,13356886,GOOGL,Stock,USD,20,150.27,2.49,0,Buy
2023-01-29,46913810,AAPL,Stock,USD,15,315.23,6.67,0,Buy
2023-02-06,46913810,VCN.TO,ETF,CAD,50,86.44,8.91,0,Buy
2023-02-11,13356886,GOOGL,Stock,USD,20,140.17,4.45,0,Buy
2023-02-12,46913810,AAPL,Stock,USD,50,307.54,2.47,0,Buy
2023-02-18,13356886,GOOGL,Stock,USD,5,133.52,2.74,0,Buy
2023-03-01,13356886,CNR.TO,Stock,CAD,10,200.97,3.19,0,Buy
2023-03-08,13356886,TSLA,Stock,USD,15,84.82,6.93,0,Buy
2023-03-18,46913810,JNJ,Stock,USD,10,193.89,5.42,0,Buy
2023-03-20,46913810,META,Stock,USD,-25,232.0,9.04,0,Sell
2023-03-21,13356886,BA,Stock,USD,20,203.73,3.8,0,Buy
2023-03-21,46913810,DIS,Stock,USD,15,79.06,8.53,0,Buy
2023-03-24,13356886,MSFT,Stock,USD,25,509.17,5.46,0,Buy
2023-03-31,46913810,META,Stock,USD,10,234.88,4.35,0,Buy
2023-04-22,46913810,DIS,Stock,USD,-26,77.88,7.23,0,Sell
2023-04-29,13356886,TSLA,Stock,USD,20,80.84,0.27,0,Buy
2023-05-03,46913810,VCN.TO,ETF,CAD,-6,97.21,6.42,0,Sell
2023-06-15,13356886,BA,Stock,USD,10,238.84,2.11,0,Buy
2023-06-28,13356886,MSFT,Stock,USD,50,478.4,4.21,0,Buy
2023-07-11,46913810,AAPL,Stock,USD,20,362.48,0.52,0,Buy
2023-08-18,46913810,META,Stock,USD,-50,255.46,9.56,0,Sell
2023-08-19,13356886,BA,Stock,USD,5,336.94,8.38,0,Buy
2023-08-29,46913810,META,Stock,USD,25,251.48,1.14,0,Buy
2023-08-30,46913810,AAPL,Stock,USD,-50,368.68,3.69,0,Sell
2023-09-05,46913810,JNJ,Stock,USD,-11,271.3,9.64,0,Sell
2023-09-17,13356886,BA,Stock,USD,20,331.69,6.77,0,Buy
2023-11-08,13356886,MSFT,Stock,USD,232,0.83,0.0,0,Dividend
2023-11-20,46913810,VCN.TO,ETF,CAD,-41,122.41,2.43,0,Sell
2023-11-23,13356886,JPM,Stock,USD,-8,189.58,7.95,0,Sell
2023-12-07,13356886,BA,Stock,USD,15,385.47,6.61,0,Buy
2023-12-07,13356886,JPM,Stock,USD,50,183.88,4.2,0,Buy
2023-12-11,13356886,MSFT,Stock,USD,232,0.75,0.0,0,Dividend
2024-01-20,46913810,AAPL,Stock,USD,-28,477.15,1.76,0,Sell
2024-01-30,13356886,JPM,Stock,USD,50,198.85,9.19,0,Buy
2024-02-04,46913810,AAPL,Stock,USD,25,472.21,5.92,0,Buy
2024-02-05,46913810,META,Stock,USD,-6,212.61,2.79,0,Sell
2024-02-09,46913810,AAPL,Stock,USD,-25,486.06,3.36,0,Sell
2024-02-10,46913810,DIS,Stock,USD,5,66.24,3.54,0,Buy
2024-03-07,13356886,CNR.TO,Stock,CAD,44,1.17,0.0,0,Dividend
2024-03-10,13356886,CNR.TO,Stock,CAD,-34,236.92,9.47,0,Sell
2024-03-17,13356886,MSFT,Stock,USD,50,478.66,2.4,0,Buy
2024-03-26,46913810,AAPL,Stock,USD,1,448.94,0.93,0,Buy
2024-04-07,46913810,META,Stock,USD,20,188.6,3.69,0,Buy
2024-04-28,46913810,DIS,Stock,USD,25,73.97,5.5,0,Buy
2024-05-11,46913810,AAPL,Stock,USD,10,498.49,2.3,0,Buy
2024-05-13,46913810,DIS,Stock,USD,20,79.88,9.5,0,Buy
2024-06-05,46913810,META,Stock,USD,15,178.49,2.76,0,Buy
2024-06-06,13356886,GOOGL,Stock,USD,-7,119.92,8.32,0,Sell
2024-06-21,46913810,DIS,Stock,USD,1,76.03,7.07,0,Buy
2024-07-02,13356886,BA,Stock,USD,20,521.5,2.92,0,Buy
2024-07-02,13356886,JPM,Stock,USD,227,1.44,0.0,0,Dividend
2024-07-21,13356886,BA,Stock,USD,-31,511.57,4.78,0,Sell
2024-08-04,13356886,BA,Stock,USD,50,544.47,4.77,0,Buy
2024-08-09,13356886,MSFT,Stock,USD,20,532.93,6.29,0,Buy
2024-08-11,13356886,TSLA,Stock,USD,-20,79.88,0.85,0,Sell
2024-08-24,13356886,GOOGL,Stock,USD,-39,157.59,5.96,0,Sell
2024-08-25,13356886,GOOGL,Stock,USD,15,157.28,2.97,0,Buy
2024-09-01,13356886,MSFT,Stock,USD,20,573.95,0.6,0,Buy
2024-09-03,46913810,JNJ,Stock,USD,34,1.45,0.0,0,Dividend
2024-09-05,46913810,META,Stock,USD,1,182.45,1.57,0,Buy
2024-09-09,46913810,JNJ,Stock,USD,15,200.63,4.5,0,Buy
2024-09-20,13356886,CNR.TO,Stock,CAD,10,272.47,7.06,0,Buy
2024-10-05,46913810,AAPL,Stock,USD,5,449.79,9.23,0,Buy
2024-10-17,13356886,JPM,Stock,USD,-13,227.11,4.25,0,Sell
2024-11-04,13356886,JPM,Stock,USD,10,247.75,8.26,0,Buy
2024-11-25,13356886,TSLA,Stock,USD,-39,94.8,7.48,0,Sell
2024-11-25,13356886,CNR.TO,Stock,CAD,15,322.69,6.88,0,Buy
2024-11-28,13356886,CNR.TO,Stock,CAD,15,324.33,4.37,0,Buy
2024-12-01,13356886,MSFT,Stock,USD,-39,555.55,2.5,0,Sell
2024-12-04,13356886,JPM,Stock,USD,-37,244.07,5.87,0,Sell
2024-12-11,13356886,JPM,Stock,USD,-37,241.28,0.4,0,Sell
2025-01-08,46913810,AAPL,Stock,USD,15,485.54,9.15,0,Buy
2025-01-13,46913810,VCN.TO,ETF,CAD,50,150.17,4.91,0,Buy
2025-02-10,46913810,DIS,Stock,USD,1,74.81,8.57,0,Buy
2025-02-13,46913810,AAPL,Stock,USD,15,587.33,8.13,0,Buy
2025-02-16,46913810,AAPL,Stock,USD,10,615.49,3.23,0,Buy
2025-02-18,13356886,MSFT,Stock,USD,283,1.11,0.0,0,Dividend
2025-03-05,13356886,BA,Stock,USD,-35,701.91,4.62,0,Sell
2025-03-06,13356886,GOOGL,Stock,USD,50,188.85,4.98,0,Buy
2025-04-06,13356886,BA,Stock,USD,20,827.72,1.31,0,Buy
2025-04-10,46913810,AAPL,Stock,USD,25,589.22,6.08,0,Buy
2025-04-18,13356886,TSLA,Stock,USD,1,92.39,5.52,0,Buy
2025-04-28,46913810,JNJ,Stock,USD,1,212.07,6.47,0,Buy
2025-05-11,13356886,CNR.TO,Stock,CAD,10,324.84,4.15,0,Buy
2025-05-12,46913810,AAPL,Stock,USD,20,586.91,1.44,0,Buy
2025-05-14,46913810,VCN.TO,ETF,CAD,5,159.31,8.63,0,Buy
2025-05-24,13356886,MSFT,Stock,USD,50,551.01,5.07,0,Buy
2025-05-25,13356886,CNR.TO,Stock,CAD,-38,314.52,5.79,0,Sell
2025-06-03,13356886,TSLA,Stock,USD,15,102.55,3.45,0,Buy
2025-06-09,13356886,GOOGL,Stock,USD,10,195.5,8.69,0,Buy
2025-06-14,46913810,META,Stock,USD,-15,172.54,8.55,0,Sell
2025-07-12,46913810,DIS,Stock,USD,-46,58.46,9.13,0,Sell
2025-08-07,13356886,JPM,Stock,USD,-42,301.94,9.8,0,Sell
2025-08-11,13356886,BA,Stock,USD,20,852.62,3.32,0,Buy
2025-09-11,46913810,AAPL,Stock,USD,15,626.14,0.15,0,Buy
2025-09-26,13356886,JPM,Stock,USD,108,1.68,0.0,0,Dividend
2025-10-06,13356886,CNR.TO,Stock,CAD,25,343.92,3.97,0,Buy
2025-10-21,46913810,DIS,Stock,USD,20,60.35,3.8,0,Buy
2025-10-24,46913810,AAPL,Stock,USD,133,0.77,0.0,0,Dividend
2025-11-02,46913810,JNJ,Stock,USD,25,236.32,9.2,0,Buy
2025-11-18,46913810,JNJ,Stock,USD,1,242.56,7.6,0,Buy
2025-11-29,46913810,JNJ,Stock,USD,25,245.35,2.99,0,Buy
2025-11-30,46913810,DIS,Stock,USD,-19,60.85,3.58,0,Sell
2025-12-01,46913810,META,Stock,USD,20,168.79,6.81,0,Buy
2025-12-11,13356886,TSLA,Stock,USD,50,76.4,3.82,0,Buy
2025-12-19,46913810,AAPL,Stock,USD,133,0.8,0.0,0,Dividend
2025-12-30,46913810,AAPL,Stock,USD,-30,584.98,2.55,0,Sell
2025-12-31,46913810,AAPL,Stock,USD,103,0.73,0.0,0,Dividend
2026-01-17,13356886,TSLA,Stock,USD,10,72.61,9.87,0,Buy
2026-01-18,13356886,MSFT,Stock,USD,-30,614.29,8.44,0,Sell
